pattern_id,feature,condition,support_count,support_pct,true_count,false_count,true_rate,false_rate,base_true_rate,lift_TRUE,lift_FALSE,purity,direction,z_score,approx_p_value,confidence,log_odds_ratio_vs_rest,abs_log_odds_ratio
raw_token_count__gte_p95,raw_token_count,raw_token_count >= p95 (41),260,0.053061224489795916,163,97,0.6269230769230769,0.3730769230769231,0.2857142857142857,2.1942307692307694,0.5223076923076923,0.6269230769230769,TRUE,12.178811992081227,4.031108207170357e-34,1.0,1.5286717107786671,1.5286717107786671
byte_length__gte_p90,byte_length,byte_length >= p90 (221),494,0.10081632653061225,299,195,0.6052631578947368,0.39473684210526316,0.2857142857142857,2.118421052631579,0.5526315789473684,0.6052631578947368,TRUE,15.721674612826046,1.0744581447241085e-55,1.0,1.5254688986613185,1.5254688986613185
"byte_length__quantile_(188.0,1163.0]",byte_length,"byte_length in quantile bin (188.0, 1163.0]",979,0.19979591836734695,548,431,0.5597548518896833,0.4402451481103167,0.2857142857142857,1.9591419816138917,0.6163432073544434,0.5597548518896833,TRUE,18.980351110929895,2.4793361197448972e-80,1.0,1.5210165209016815,1.5210165209016815
"char_length__quantile_(188.0,1163.0]",char_length,"char_length in quantile bin (188.0, 1163.0]",959,0.1957142857142857,537,422,0.5599582898852972,0.44004171011470283,0.2857142857142857,1.9598540145985401,0.6160583941605839,0.5599582898852972,TRUE,18.799421485119762,7.634451086680014e-79,1.0,1.5119431599691209,1.5119431599691209
raw_token_count__gte_p90,raw_token_count,raw_token_count >= p90 (36),508,0.1036734693877551,304,204,0.5984251968503937,0.4015748031496063,0.2857142857142857,2.0944881889763782,0.5622047244094488,0.5984251968503937,TRUE,15.601736224803526,7.084101741399506e-55,1.0,1.4988411223625067,1.4988411223625067
word_count__gte_p95,word_count,word_count >= p95 (42),250,0.05102040816326531,155,95,0.62,0.38,0.2857142857142857,2.17,0.532,0.62,TRUE,11.700000000000001,1.2745349831372286e-31,1.0,1.4933742001117423,1.4933742001117423
word_count__gte_p90,word_count,word_count >= p90 (36),544,0.1110204081632653,322,222,0.5919117647058824,0.40808823529411764,0.2857142857142857,2.0716911764705883,0.5713235294117647,0.5919117647058824,TRUE,15.80880711353457,2.705409894823238e-56,1.0,1.4829908485039953,1.4829908485039953
byte_length__gte_p95,byte_length,byte_length >= p95 (255),247,0.05040816326530612,152,95,0.6153846153846154,0.38461538461538464,0.2857142857142857,2.153846153846154,0.5384615384615384,0.6153846153846154,TRUE,11.469021821343858,1.88781113498601e-30,1.0,1.471487289522327,1.471487289522327
char_length__gte_p95,char_length,char_length >= p95 (254),246,0.05020408163265306,150,96,0.6097560975609756,0.3902439024390244,0.2857142857142857,2.1341463414634148,0.5463414634146342,0.6097560975609756,TRUE,11.25036584770989,2.306334375356881e-29,1.0,1.4459746904493378,1.4459746904493378
"word_count__quantile_(31.0,222.0]",word_count,"word_count in quantile bin (31.0, 222.0]",919,0.18755102040816327,500,419,0.544069640914037,0.455930359085963,0.2857142857142857,1.9042437431991295,0.6383025027203482,0.544069640914037,TRUE,17.336972637672087,2.4743026879509705e-67,1.0,1.4067656786343015,1.4067656786343015
"raw_token_count__quantile_(30.2,222.0]",raw_token_count,"raw_token_count in quantile bin (30.2, 222.0]",980,0.2,526,454,0.536734693877551,0.463265306122449,0.2857142857142857,1.8785714285714286,0.6485714285714286,0.536734693877551,TRUE,17.39482681718907,9.029925149482068e-68,1.0,1.395149793186389,1.395149793186389
"compression_ratio__quantile_(0.0837,0.735]",compression_ratio,"compression_ratio in quantile bin (0.0837, 0.735]",982,0.2004081632653061,474,508,0.48268839103869654,0.5173116089613035,0.2857142857142857,1.689409368635438,0.7242362525458248,0.5173116089613035,TRUE,13.66353018170914,1.6765485984859207e-42,1.0,1.1032467942680817,1.1032467942680817
compression_ratio__lte_p10,compression_ratio,compression_ratio <= p10 (0.696058),490,0.1,241,249,0.49183673469387756,0.5081632653061224,0.2857142857142857,1.7214285714285715,0.7114285714285714,0.5081632653061224,TRUE,10.1,5.524218943529075e-24,1.0,0.9985381085146743,0.9985381085146743
sentence_count__gte_p95,sentence_count,sentence_count >= p95 (4),295,0.06020408163265306,145,150,0.4915254237288136,0.5084745762711864,0.2857142857142857,1.7203389830508475,0.711864406779661,0.5084745762711864,TRUE,7.82488425213575,5.081242071108009e-15,0.9999999999999949,0.9477886912382024,0.9477886912382024
sentence_count__gte_p90,sentence_count,sentence_count >= p90 (3),815,0.1663265306122449,374,441,0.4588957055214724,0.5411042944785276,0.2857142857142857,1.6061349693251534,0.7575460122699386,0.5411042944785276,TRUE,10.944051806285017,7.09562574244339e-28,1.0,0.9275103293568664,0.9275103293568664
"sentence_count__quantile_(2.0,49.0]",sentence_count,"sentence_count in quantile bin (2.0, 49.0]",815,0.1663265306122449,374,441,0.4588957055214724,0.5411042944785276,0.2857142857142857,1.6061349693251534,0.7575460122699386,0.5411042944785276,TRUE,10.944051806285017,7.09562574244339e-28,1.0,0.9275103293568664,0.9275103293568664
"char_entropy__quantile_(4.325,5.115]",char_entropy,"char_entropy in quantile bin (4.325, 5.115]",980,0.2,439,541,0.4479591836734694,0.5520408163265306,0.2857142857142857,1.5678571428571428,0.7728571428571428,0.5520408163265306,TRUE,11.242997820866105,2.5072096078105884e-29,1.0,0.9155756997861316,0.9155756997861316
char_entropy__gte_p90,char_entropy,char_entropy >= p90 (4.40987),490,0.1,227,263,0.463265306122449,0.536734693877551,0.2857142857142857,1.6214285714285714,0.7514285714285714,0.536734693877551,TRUE,8.7,3.318841739929572e-18,1.0,0.8679075611263031,0.8679075611263031
repeated_token_count__gte_p95,repeated_token_count,repeated_token_count >= p95 (9),255,0.05204081632653061,120,135,0.47058823529411764,0.5294117647058824,0.2857142857142857,1.647058823529412,0.7411764705882353,0.5294117647058824,TRUE,6.53497378364605,6.362068453919969e-11,0.9999999999363793,0.849004026422142,0.849004026422142
"byte_length__quantile_(150.0,188.0]",byte_length,"byte_length in quantile bin (150.0, 188.0]",959,0.1957142857142857,418,541,0.4358706986444213,0.5641293013555787,0.2857142857142857,1.5255474452554747,0.7897810218978102,0.5641293013555787,TRUE,10.293219368278503,7.5605408352168125e-25,1.0,0.8450090938758481,0.8450090938758481
repeated_token_types__gte_p95,repeated_token_types,repeated_token_types >= p95 (6),333,0.06795918367346938,155,178,0.46546546546546547,0.5345345345345346,0.2857142857142857,1.6291291291291292,0.7483483483483484,0.5345345345345346,TRUE,7.260924253910175,3.844542039555606e-13,0.9999999999996155,0.8432375862847603,0.8432375862847603
"char_length__quantile_(149.0,188.0]",char_length,"char_length in quantile bin (149.0, 188.0]",980,0.2,425,555,0.4336734693877551,0.5663265306122449,0.2857142857142857,1.5178571428571428,0.7928571428571428,0.5663265306122449,TRUE,10.253048327204938,1.146690081481516e-24,1.0,0.8384800398323202,0.8384800398323202
"word_count__quantile_(25.0,31.0]",word_count,"word_count in quantile bin (25.0, 31.0]",900,0.1836734693877551,390,510,0.43333333333333335,0.5666666666666667,0.2857142857142857,1.5166666666666668,0.7933333333333333,0.5666666666666667,TRUE,9.803060746521977,1.0922480022665012e-22,1.0,0.8170326713159564,0.8170326713159564
compression_ratio__lte_p05,compression_ratio,compression_ratio <= p05 (0.663747),245,0.05,113,132,0.46122448979591835,0.5387755102040817,0.2857142857142857,1.6142857142857143,0.7542857142857143,0.5387755102040817,TRUE,6.081118318204308,1.1934717937220434e-09,0.9999999988065282,0.8069853793580039,0.8069853793580039
max_sentence_word_count__gte_p95,max_sentence_word_count,max_sentence_word_count >= p95 (34),292,0.05959183673469388,134,158,0.4589041095890411,0.541095890410959,0.2857142857142857,1.606164383561644,0.7575342465753425,0.541095890410959,TRUE,6.551063910248807,5.712860127709804e-11,0.9999999999428714,0.8062714452589267,0.8062714452589267
